Research name,Publication Title,Author List,Conf/Journal Details,Citation count,Year
Graham Healy,Neural and cognitive correlates of human decision-making in domestic energy usage,"Michael Keane, Alan F. Smeaton, Lorraine Boran, Graham Healy, Miriam Kennedy, Yang Yang, Cathal Gurrin",,0,2014
Graham Healy,Object segmentation in images using eeg signals,"Eva Mohedano, Graham Healy, Kevin McGuinness, Xavier Giró Nieto, Noel O’Connor, Alan F. Smeaton",Proceedings of the 22nd ACM international conference on Multimedia 417-426,14,2014
Graham Healy,How interaction methods affect image segmentation: user experience in the task,"Ramya Hebbalaguppe, Kevin McGuinness, Jogile Kuklyte, Graham Healy, Noel O’Connor, Alan F. Smeaton",2013 1st IEEE Workshop on User-Centered Computer Vision (UCCV) 19-24,17,2013
Graham Healy,Introducing social networks and brain computer interaction,"Steven Bourke, Graham Healy, Alan F. Smeaton, Barry Smyth",iHCI 2012: Irish Human Computer Interaction Conference 2012 Galway June 20-21,0,2012
Graham Healy,An analysis of EEG signals present during target search,Graham Healy,Dublin City University,1,2012
Graham Healy,Eye fixation related potentials in a target search task,"Graham Healy, Alan F. Smeaton",2011 Annual International Conference of the IEEE Engineering in Medicine and …,21,2011
Graham Healy,Optimising the number of channels in eeg-augmented image search,"Graham Healy, Alan F. Smeaton",Proceedings of HCI 2011 The 25th BCS Conference on Human Computer …,14,2011
Graham Healy,"Curiosity cloning: Neural modelling for image analysis, technical report","Graham Healy, Peter Wilkins, Alan F. Smeaton, Dario Izzo, Marek Rucinski, Christos Ampatzis, Eduardo Martin Moraud",Dublin City University,5,2010
Graham Healy,Neural Modelling for Image Analysis,"Graham Healy, Peter Wilkins, Alan F. Smeaton, Dario Izzo, Marek Rucinski, Christos Ampatzis, Eduardo Martin Moraud",,0,2010
Graham Healy,"Presentations and demos of the"" Curiosity Cloning"" project","Dario Izzo, Christos Ampatzis, Marek Rucinski, Touradj Ebrahimi, Ashkan Yazdani, Thien Ha-Minh, Frédéric Dufaux, Alan F. Smeaton, Peter Wilkins, Graham Healy",,0,2009
Graham Healy,An outdoor spatially-aware audio playback platform exemplified by a virtual zoo,"Graham Healy, Alan F. Smeaton",Proceedings of the 17th ACM international conference on Multimedia 837-840,2,2009
Graham Healy,Neurological modeling of what experts vs. non-experts find interesting,"Alan F. Smeaton, Peter Wilkins, Graham Healy, Christos Ampatzis, Marek Rucinski, Dario Izzo",,0,2009
Graham Healy,Wearable wireless inertial measurement for sports applications,"Mark Gaffney, Brendan O’Flynn, Alan Mathewson, John Buckley, John Barton, Philip Angove, Jan Včelák, Ciarán O’Conaire, Graham Healy, Kieran Moran, Noel O’Connor, Shirley Coyle, Philip Kelly, Brian Caulfield, Luke Conroy",Proc. IMAPS-CPMT Poland 2009 Gliwice–Pszczyna Poland 22-24 Sept 2009,8,2009
Graham Healy,Spatially augmented audio delivery: Applications of spatial sound awareness in sensor-equipped indoor environments,"Graham Healy, Alan F. Smeaton",2009 Tenth International Conference on Mobile Data Management: Systems …,10,2009
Graham Healy,Curiosity cloning: neural analysis of scientific knowledge,"Dario Izzo, Luca Rossini, Marek Rucinski, Christos Ampatzis, Graham Healy, Peter Wilkins, Alan F. Smeaton, Ashkan Yazdani, Touradj Ebrahimi",ESA-European Space Agency,1,2009
Graham Healy,TennisSense: a multi-sensory approach to performance analysis in tennis,"Luke Conroy, Ciarán O’Conaire, Shirley Coyle, Graham Healy, Philip Kelly, Damien Connaghan, Noel O’Connor, Alan F. Smeaton, Brian Caulfield, Paddy Nixon",,6,2009
