Research name,Publication Title,Author List,Conf/Journal Details,Citation count,Year
Mark Roantree,OTwig: An Optimised Twig Pattern Matching Approach for XML Databases,"Jun Li, Mark Roantree",International Conference on Current Trends in Theory and Practice of …,1,2010
Mark Roantree,Classification of index partitions to boost XML query performance,"Gerard Marks, Mark Roantree, John Murphy",International Conference on Conceptual Modeling 405-418,4,2010
Mark Roantree,A framework for real-time context provision in ubiquitous sensing environments,"Adel Shaeib, Paolo Cappellari, Mark Roantree",The IEEE symposium on Computers and Communications 1083-1085,9,2010
Mark Roantree,Enrichment of raw sensor data to enable high-level queries,"Kenneth Conroy, Mark Roantree",International Conference on Database and Expert Systems Applications 462-469,8,2010
Mark Roantree,EBSL: supporting deleted node label reuse in XML,"Martin O Connor, Mark Roantree",International XML Database Symposium 73-87,3,2010
Mark Roantree,Knowledge management in sensor enabled online services,"Dominick Smyth, Paolo Cappellari, Mark Roantree",Future Internet Symposium 88-96,2,2010
Mark Roantree,A schemaguide for accelerating the view adaptation process,"Jun Li, Mark Roantree, Zohra Bellahsene",International Conference on Conceptual Modeling 160-173,7,2010
Mark Roantree,Using sensor networks to measure intensity in sporting activities,"Mark Roantree, Michael Whelan, Jie Shi, Niall Moyna",International Conference on Heterogeneous Networking for Quality …,4,2009
Mark Roantree,Precomputing queries for personal health sensor environments,"Jun Li, Mark Roantree",Proceedings of the International Conference on Management of Emergent …,6,2009
Mark Roantree,A query service for raw sensor data,"Dónall Mccann, Mark Roantree",European Conference on Smart Sensing and Context 38-50,12,2009
Mark Roantree,Extracting tennis statistics from wireless sensing environments,"Adel Shaeib, Kenneth Conroy, Mark Roantree",Proceedings of the Sixth International Workshop on Data Management for …,4,2009
Mark Roantree,Metamodel-based optimisation of xpath queries,"Gerard Marks, Mark Roantree",British National Conference on Databases 146-157,10,2009
Mark Roantree,"Advanced Information Systems Engineering: 21st International Conference, CAiSE 2009, Amsterdam, The Netherlands, June 8-12, 2009, Proceedings","Pascal Van Eck, Jaap Gordijn, Roel J Wieringa",Springer,2,2009
Mark Roantree,Querying XML data streams from wireless sensor networks: An evaluation of query engines,"Martin O Connor, Kenneth Conroy, Mark Roantree, Alan F. Smeaton, Niall Moyna",2009 Third International Conference on Research Challenges in Information …,7,2009
Mark Roantree,The Sensor Web: Bridging the Physical-Digital Divide,"Mark Roantree, Mikko Sallinen",ERCIM News 14-15,3,2009
Mark Roantree,A hybrid storage model for web information systems,Mark Roantree,Proceedings of the 6th International Workshop on Web Information Systems …,1,2009
Mark Roantree,Synchronizing sensed data in team sports,"Dónall Mccann, Mark Roantree, Niall Moyna, Michael Whelan",ERCIM News 1 (76) 55-56,1,2009
