Research name,Publication Title,Author List,Conf/Journal Details,Citation count,Year
Michael Scriney,Representative Sample Extraction from Web Data Streams,"Michael Scriney, Congcong Xing, Andrew McCarren, Mark Roantree",International Conference on Database and Expert Systems Applications 341-351,0,2019
Michael Scriney,Identifying extra-terrestrial intelligence using machine learning,"Ma Lgorzata Gutowska, Michael Scriney, Andrew McCarren",,0,2019
Michael Scriney,Automating Data Mart Construction from Semi-structured Data Sources,"Michael Scriney, Suzanne Mccarthy, Andrew McCarren, Paolo Cappellari, Mark Roantree",The Computer Journal 62 (3) 394-413,3,2018
Michael Scriney,Constructing data marts from web sources using a graph common model,Michael Scriney,Dublin City University,1,2018
Michael Scriney,Integrating Online Data for Smart City Data Marts,"Michael Scriney, Martin O Connor, Mark Roantree",British International Conference on Databases 23-35,1,2017
Michael Scriney,Generating cubes from smart city web data,"Michael Scriney, Martin O Connor, Mark Roantree",Proceedings of the Australasian Computer Science Week Multiconference 49,6,2017
Michael Scriney,Efficient cube construction for smart city data,"Michael Scriney, Mark Roantree",CEUR-WS. org,8,2016
