Research name,Publication Title,Author List,Conf/Journal Details,Citation count,Year
Jennifer Foster,Estimating the Quality of Translated User-Generated Content,"Raphael Rubino, Jennifer Foster, Rasoul Samad Zadeh Kaljahi, Johann Roturier, Fred Hollowood",,7,2013
Jennifer Foster,Parser Accuracy in Quality Estimation of Machine Translation: A Tree Kernel Approach,"Rasoul Samad Zadeh Kaljahi, Jennifer Foster, Raphael Rubino, Johann Roturier, Fred Hollowood",,6,2013
Jennifer Foster,DCU at FIRE 2013: Cross Language! ndian News Story Search,"Piyush Arora, Jennifer Foster, Gareth Jones",,4,2013
Jennifer Foster,Applying Query Formulation and Fusion Techniques For Cross Language News Story Search,"Piyush Arora, Jennifer Foster, Gareth Jones",Post-Proceedings of the 4th and 5th Workshops of the Forum for Information …,0,2013
Jennifer Foster,DCU-Symantec at the WMT 2013 quality estimation shared task,"Raphael Rubino, Joachim Wagner, Jennifer Foster, Johann Roturier, Rasoul Samad Zadeh Kaljahi, Fred Hollowood",Proceedings of the Eighth Workshop on Statistical Machine Translation 392-397,10,2013
Jennifer Foster,Topic models for translation quality estimation for gisting purposes,"Raphael Rubino, Jose De Souza, Jennifer Foster, Lucia Specia",,22,2013
Jennifer Foster,Working with a small dataset-semi-supervised dependency parsing for Irish,"Teresa Lynn, Jennifer Foster, Mark Dras",Proceedings of the Fourth Workshop on Statistical Parsing of Morphologically …,10,2013
Jennifer Foster,Overview of the SPMRL 2013 shared task: cross-framework evaluation of parsing morphologically rich languages,"Djame Seddah, Reut Tsarfaty, Sandra Kuebler, Marie Candito, Jinho Choi, Richárd Farkas, Jennifer Foster, Iakes Goenaga, Koldo Gojenola, Yoav Goldberg, Spence Green, Nizar Habash, Marco Kuhlmann, Wolfgang Maier, Joakim Nivre, Adam Przepiórkowski, Ryan Roth, Wolfgang Seeker, Yannick Versley, Veronika Vincze, Marcin Wolinski, Alina Wróblewska, Eric Villemonte De La Clérgerie",Association for Computational Linguistics,144,2013
Jennifer Foster,DCU-Paris13 systems for the SANCL 2012 shared task,"Joseph Le Roux, Jennifer Foster, Joachim Wagner, Rasul Kaljahi, Anton Bryl",,21,2012
Jennifer Foster,Irish treebanking and parsing: A preliminary evaluation,"Teresa Lynn, Ozlem Cetinoglu, Jennifer Foster, Elaine Ui Donnchadha, Mark Dras, Josef Van Genabith",,13,2012
Jennifer Foster,Proceedings of the ACL 2012 Joint Workshop on Statistical Parsing and Semantic Processing of Morphologically Rich Languages,"Marianna Apidianaki, Ido Dagan, Jennifer Foster, Yuval Marton, Djame Seddah, Reut Tsarfaty",Proceedings of the ACL 2012 Joint Workshop on Statistical Parsing and …,0,2012
Jennifer Foster,Active Learning and the Irish Treebank,"Teresa Lynn, Jennifer Foster, Mark Dras, Elaine Ui Donnchadha",Australasian Language Technology Association Workshop 2012 23,9,2012
Jennifer Foster,A Detailed Analysis of Phrase-based and Syntax-based Machine Translation: The Search for Systematic Differences,"Rasoul Samad Zadeh Kaljahi, Raphael Rubino, Johann Roturier, Jennifer Foster",Proceedings of AMTA,5,2012
Jennifer Foster,DCU-Symantec Submission for the WMT 2012 Quality Estimation Task,"Raphael Rubino, Jennifer Foster, Joachim Wagner, Johann Roturier, Rasul Samad Zadeh Kaljahi, Fred Hollowood",,21,2012
Jennifer Foster,Identifying High-Impact Sub-Structures for Convolution Kernels in Document-level Sentiment Classification,"Zhaopeng Tu, Yifan He, Jennifer Foster, Josef Van Genabith, Liu Qun, Shouxun Lin",,24,2012
Jennifer Foster,From News to Comment: Resources and Benchmarks for Parsing the Language of Web 2.0,"Jennifer Foster, Ozlem Cetinoglu, Joachim Wagner, Joseph Le Roux, Joakim Nivre, Deirdre Hogan, Josef Van Genabith",,87,2011
Jennifer Foster,Improving dependency label accuracy using statistical post-editing: A cross-framework study,"Ozlem Cetinoglu, Anton Bryl, Jennifer Foster, Josef Van Genabith",,2,2011
Jennifer Foster,Quizzes on Tap: Exporting a Test Generation System from one Less-Resourced Language to Another,"Montse Maritxalar, Elaine Ui Donnchadha, Jennifer Foster, Monica Ward",,2,2011
Jennifer Foster,Decreasing lexical data sparsity in statistical syntactic parsing-experiments with named entities,"Deirdre Hogan, Jennifer Foster, Josef Van Genabith",,12,2011
Jennifer Foster,# hardtoparse: POS Tagging and Parsing the Twitterverse,"Jennifer Foster, Ozlem Cetinoglu, Joachim Wagner, Joseph Le Roux, Stephen Hogan, Joakim Nivre, Deirdre Hogan, Josef Van Genabith",,147,2011
Jennifer Foster,Proceedings of the Second Workshop on Statistical Parsing of Morphologically Rich Languages,"Djame Seddah, Reut Tsarfaty, Jennifer Foster",Proceedings of the Second Workshop on Statistical Parsing of Morphologically …,0,2011
Jennifer Foster,Comparing the use of edited and unedited text in parser self-training,"Jennifer Foster, Ozlem Cetinoglu, Joachim Wagner, Josef Van Genabith",Association for Computational Linguistics,5,2011
Jennifer Foster,LFG without C-structures,"Özlem Çetinoğlu, Jennifer Foster, Joakim Nivre, Deirdre Hogan, Aoife Cahill, Josef Van Genabith",,19,2010
Jennifer Foster,Using parse features for preposition selection and error detection,"Joel Tetreault, Jennifer Foster, Martin Chodorow",Proceedings of the acl 2010 conference short papers 353-358,88,2010
Jennifer Foster,“cba to check the spelling”: investigating parser performance on discussion forum posts,Jennifer Foster,Human Language Technologies: The 2010 Annual Conference of the North …,58,2010
Jennifer Foster,"Statistical parsing of morphologically rich languages (spmrl) what, how and whither","Reut Tsarfaty, Djame Seddah, Yoav Goldberg, Sandra Kuebler, Yannick Versley, Marie Candito, Jennifer Foster, Ines Rehbein, Lamia Tounsi",Proceedings of the NAACL HLT 2010 First Workshop on Statistical Parsing of …,134,2010
Jennifer Foster,Statistical parsing of morphologically rich languages,"Reut Tsarfaty, Djame Seddah, Yoav Goldberg, Sandra Kuebler, Yannick Versley, Marie Candito, Jennifer Foster, Ines Rehbein, Lamia Tounsi",The 1st Workshop on Statistical Parsing of Morphologically Rich Languages NAACL,0,2010
Jennifer Foster,"Handling unknown words in statistical latent-variable parsing models for Arabic, English and French","Mohammed Attia, Jennifer Foster, Deirdre Hogan, Joseph Le Roux, Lamia Tounsi, Josef Van Genabith",,54,2010
Jennifer Foster,The effect of correcting grammatical errors on parse probabilities,"Joachim Wagner, Jennifer Foster",Proceedings of the 11th International Conference on Parsing Technologies …,17,2009
Jennifer Foster,GenERRate: generating errors for use in grammatical error detection,"Jennifer Foster, Oistein Andersen",Proceedings of the fourth workshop on innovative use of nlp for building …,84,2009
Jennifer Foster,Judging grammaticality: Experiments in sentence classification,"Joachim Wagner, Jennifer Foster, Josef Van Genabith",Calico Journal 26 (3) 474-490,46,2009
Jennifer Foster,Exploiting syntax in sentiment polarity classification,"Wolfgang Seeker, Adam Bermingham, Jennifer Foster, Deirdre Hogan",Dublin: Dublin City University,1,2009
