Research name,Publication Title,Author List,Conf/Journal Details,Year,ISBN,ISSN,Item Type,Event Type,Refereed,Date of Award,Supervisor(s),Uncontrolled Keywords,Subject,DCU Faculties and Centres,Use License,ID Code,Deposited On,Published in,Publisher,Official URL,Copyright Information,Funders,Additional Information,Tweets,Mendeley Readers
Suzanne Little,Object polygonization in traffic scenes using small Eigenvalue analysis.,"Y. G., Naresh, Gurram Munirathnam, Venkatesh, O'Connor, Noel E., Little, Suzanne","Irish Machine Vision and Image processing (IMVIP 2020) conference, 31 Aug - 2 Sept 2020, Sligo, Ireland (Online). (In Press)",2020,,,Conference or Workshop Item (Paper),Conference,Yes,,,Dominant Point; Shape Representation; Shape polygonization; Small Eigenvalue,Computer Science > Image processing. Computer Science > Machine learning. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24881,31 Aug 2020 11:50 by  Venkatesh Gurram Munirathnam. Last Modified 31 Aug 2020 11:50,,,https://imvipconference.github.io/,2020 The Authors,European Research Council (ERC) under the European Union’s Hori-zon 2020 research and innovation programme (grant agreement number 688099) projectC l oud−LSV Aandfrom Science Foundation Ireland under grant numberSF I/16/SP/3804.,,,
Suzanne Little,SAVASA project @ TRECVID 2012: interactive surveillance event detection.,"Little, Suzanne, Jargalsaikhan, Iveel, Clawson, Kathy, Li, Hao, Nieto, Marcos, Direkoglu, Cem, O'Connor, Noel E., Smeaton, Alan F., Rodriguez, Aitor, Sanchez, Pedro, Villarroel Peniza, Karina, Martinez Llorens, Ana, Gimenez, Roberto, Santos de la Camara, Raul, Mereu, Anna","Text REtrieval Conference Video (TRECVid) Workshop, 26-28 Nov 2012 , Gaithersburg, Maryland, USA.",2012,,,Conference or Workshop Item (Paper),Workshop,No,,,TRECVid; interactive surveillance event detection,Computer Science > Machine learning. Computer Science > Multimedia systems. Computer Science > Information retrieval. Computer Science > Digital video. ,Research Initiatives and Centres > CLARITY: The Centre for Sensor Web Technologies,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,17859,05 Mar 2013 11:56 by  Suzanne Little. Last Modified 22 Oct 2018 15:00,,,http://www-nlpir.nist.gov/projects/tvpubs/tv.pubs.12.org.html,,"CLARITY, EU FP7 project SAVASA (285621)",,,
Suzanne Little,MediaEval 2019: concealed FGSM perturbations for privacy preservation.,"Linardos, Panagiotis, Little, Suzanne, McGuinness, Kevin","MediaEval 2019 workshop, 27-29 Oct 2019, Sophia Antipolis, France. (In Press)",2019,,,Conference or Workshop Item (Paper),Workshop,No,,,,Computer Science > Algorithms. Computer Science > Image processing. Computer Science > Machine learning. Engineering > Signal processing. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Electronic Engineering. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,23779,25 Oct 2019 12:16 by  Kevin Mcguinness. Last Modified 27 Oct 2019 04:30,,,,© 2019 The Authors,Science Foundation Ireland (SFI) under grant number SFI/15/SIRG/3283 and SFI/12/RC/2289,,,
Suzanne Little,ECIR 2020 workshops: assessing the impact of going online.,"Nunes, Sérgio, Little, Suzanne, Bhatia, Sumit, Boratto, Ludovico, Cabanac, Guillaume, Campos, Ricardo, Couto, Francisco M., Faralli, Stefano, Frommholz, Ingo, Jatowt, Adam, Jorge, Alipio, Marras, Mirko, Mayr, Philipp, Stilo, Giovanni",ACM SIGIR Workshops.,2020,,,Conference or Workshop Item (Paper),Workshop,No,,,,Computer Science > Information retrieval,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24662,23 Jun 2020 11:22 by  Suzanne Little. Last Modified 23 Jun 2020 11:22,,Association for Computing Machinery (ACM),,© 2020 The Authors,,,,
