Research name,Publication Title,Author List,Conf/Journal Details,Year,ISBN,ISSN,Item Type,Event Type,Refereed,Date of Award,Supervisor(s),Uncontrolled Keywords,Subject,DCU Faculties and Centres,Use License,ID Code,Deposited On,Published in,Publisher,Official URL,Copyright Information,Funders,Additional Information,Tweets,Mendeley Readers
Dimitar Shterionov,Large-scale machine translation evaluation of the iADAATPA project.,"Castilho, Sheila, Resende, Natalia, Gaspari, Federico, Way, Andy, O'Dowd, Tony, Mazur, Marek, Herranz, Manuel, Helle, Alex, Ramirez-Sanchez, Gema, Sanchez-Cartagena, Victor, Pinnis, Marcis, Sics, Valters","MT Summit XVII, 19-23 Aug 2019, Dublin, Ireland.",2019,,,Conference or Workshop Item (Paper),Conference,Yes,,,,Computer Science > Machine translating,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,23863,21 Oct 2019 12:30 by  Andrew Way. Last Modified 15 Jun 2020 11:10,"Forcada, Mikel and Way, Andy and Tinsley, John and Shterionov, Dimitar and Rici, Celia and Gaspari, Federico, (eds.)Proceedings of MT Summit XVII.2.  European Association for Machine Translation.",European Association for Machine Translation,https://www.aclweb.org/anthology/W19-6732.pdf,© 2018 The authors.,"INEA through grant N ◦ 2016-EU-IA-0132 as part of the EU’s CEF Telecom Programme, ADAPT Centre for Digital Content Technology at Dublin City University is funded under the Science Foundation Ireland Research Centres Programme (Grant 13/RC/ 2106) and is co-funded under the European Regional Development Fund.",,,
Dimitar Shterionov,Investigating backtranslation in neural machine translation.,"Poncelas, Alberto, Shterionov, Dimitar, Way, Andy, Maillette de Buy Wenniger, Gideon, Passban, Peyman","21st Annual Conference of The European Association for Machine Translation, 28-30 May 2018, Alicante, Spain.",2018,,,Conference or Workshop Item (Lecture),Conference,Yes,,,Machine Translation; Statistical Machine Translation;  Neural Machine Translation,UNSPECIFIED,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,22881,19 Dec 2018 12:43 by  Gideon Maillette De buy. Last Modified 01 May 2020 13:34,Proceedings of the 21st Annual Conference of the European Association for Machine Translation..,,http://dx.doi.org/10.18653/v1/W18-64015,©2018 the Authors,,,,
Dimitar Shterionov,Selecting Backtranslated Data from Multiple Sources for Improved Neural Machine Translation.,"Soto, Xabier, Shterionov, Dimitar, Poncelas, Alberto, Way, Andy","Annual Conference of the Association for Computational Linguistics, ACL, 5-10 July 2020, Seattle, WA, USA (Online).",2020,,,Conference or Workshop Item (Paper),Conference,Yes,,,,Computer Science > Machine translating,UNSPECIFIED,,24425,25 Jun 2020 15:47 by  Alberto Poncelas. Last Modified 25 Jun 2020 15:47,Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics..  Association for Computational Linguistics (ACL).,Association for Computational Linguistics (ACL),https://www.aclweb.org/anthology/2020.acl-main.359.pdf,© 2020 The Authors,"Spanish Ministry of Economy and Competitiveness (MINECO) FPI grant number BES-2017-081045, Science Foundation Ireland (SFI)  Research Centres Programme (Grant No. 13/RC/2106), European Regional Development Fund",,,
