Research name,Publication Title,Author List,Conf/Journal Details,Year,ISBN,ISSN,Item Type,Event Type,Refereed,Date of Award,Supervisor(s),Uncontrolled Keywords,Subject,DCU Faculties and Centres,Use License,ID Code,Deposited On,Published in,Publisher,Official URL,Copyright Information,Funders,Additional Information,Tweets,Mendeley Readers
Gareth Jones,The search and hyperlinking task at MediaEval 2013.,"Eskevich, Maria, Aly, Robin, Ordelman, Roeland, Chen, Shu, Jones, Gareth J.F.","MediaEval 2013 workshop, 18-19 Oct 2013, Barcelona, Spain.",2013,,,Conference or Workshop Item (Paper),Workshop,Yes,,,,Computer Science > Multimedia systems. Computer Science > Information retrieval. ,Research Initiatives and Centres > Centre for Next Generation Localisation (CNGL). Research Initiatives and Centres > CLARITY: The Centre for Sensor Web Technologies. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,20370,13 Jan 2015 14:52 by  Gareth Jones. Last Modified 10 Oct 2018 09:17,Proceedings of MediaEval 2013..,,,,"Science Foundation Ireland, European Framework Programme 7",,,
Gareth Jones,Overview of VideoCLEF 2008: Automatic generation of topic-based feeds for dual language audio-visual content.,"Larson, Martha, Newman, Eamonn, Jones, Gareth J.F.","CLEF 2008: Workshop on Cross-Language Information Retrieval and Evaluation, 17-19 Sept. 2008, Aarhus, Denmark,.",2009,,,Conference or Workshop Item (Paper),Workshop,Yes,,,Classification; Translation; Keyframe Extraction; Speech Recognition; Evaluation; Benchmark; Video,Computer Science > Information retrieval,Research Initiatives and Centres > Centre for Digital Video Processing (CDVP). DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,16187,16 Jun 2011 13:34 by  Shane Harper. Last Modified 25 Oct 2018 11:13,Evaluating Systems for Multilingual and Multimodal Information Access. Lecture Notes in Computer Science5706.  Springer-Verlag.,Springer-Verlag,http://www.springerlink.com/content/j1072rqu46852032/,"© 2009 Springer-Verlag.
The original publication is available at www.springerlink.com",,,,
Gareth Jones,DCU linking runs at MediaEval 2013: search and hyperlinking task.,"Chen, Shu, Jones, Gareth J.F., O'Connor, Noel E.","MediaEval 2013 workshop, 18-19 Oct 2013, Barcelona, Spain.",2013,,,Conference or Workshop Item (Paper),Workshop,Yes,,,,Computer Science > Multimedia systems. Computer Science > Information retrieval. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Electronic Engineering. Research Initiatives and Centres > Centre for Next Generation Localisation (CNGL). Research Initiatives and Centres > CLARITY: The Centre for Sensor Web Technologies. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,20371,14 Jan 2015 10:21 by  Gareth Jones. Last Modified 19 Oct 2018 14:57,Proceedings of MediaEval 2013..,,,,"Science Foundation Ireland, European Framework Programme 7",,,
Gareth Jones,Overview of the CLEF 2018 personalised information retrieval lab (PIR-CLEF 2018).,"Pasi, Gabriella, Jones, Gareth J.F., Curtis, Keith, Marrara, Stefania, Sanvitto, Camilla, Ganguly, Debasis, Sen, Procheta","CLEF 2018 - Conference and Labs of the Evaluation Forum, 10-14 Sept 2018, Avignon, France.",2018,,,Conference or Workshop Item (Paper),Conference,Yes,,,,Computer Science > Information retrieval,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,23394,04 Jun 2019 16:12 by  Thomas Murtagh. Last Modified 31 Jul 2019 08:50,CLEF 2018 - Conference and Labs of the Evaluation Forum..  CEUR-WS.,CEUR-WS,http://ceur-ws.org/Vol-2125/invited_paper_12.pdf,© 2018 The Authors,,,,
Gareth Jones,Adapting binary information retrieval evaluation metrics for segment-based retrieval tasks.,"Aly, Robin, Eskevich, Maria, Ordelman, Roeland, Jones, Gareth J.F.",Technical Report. UNSPECIFIED.,2013,,,Monograph (Technical Report),,No,,,,Computer Science > Multimedia systems. Computer Science > Information retrieval. ,Research Initiatives and Centres > Centre for Next Generation Localisation (CNGL). DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,20377,22 Jan 2015 14:08 by  Gareth Jones. Last Modified 10 Oct 2018 09:18,,,,,Science Foundation Ireland,,,
Gareth Jones,DCU linking runs at MediaEval 2014: search and hyperlinking task.,"Chen, Shu, Jones, Gareth J.F., O'Connor, Noel E.","MediaEval 2014 workshop, 16-17 Oct 2014, Barcelona, Spain.",2014,,,Conference or Workshop Item (Paper),Workshop,Yes,,,,Computer Science > Multimedia systems. Computer Science > Information retrieval. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Electronic Engineering. Research Initiatives and Centres > Centre for Next Generation Localisation (CNGL). Research Initiatives and Centres > CLARITY: The Centre for Sensor Web Technologies. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,20384,22 Jan 2015 10:42 by  Gareth Jones. Last Modified 19 Oct 2018 12:47,Proceedings of MediaEval 2014..,,,,"European Framework Programme 7, Science Foundation Ireland",,,
Gareth Jones,The search and hyperlinking task at MediaEval 2014.,"Eskevich, Maria, Aly, Robin, Racca, David, Ordelman, Roeland, Chen, Shu, Jones, Gareth J.F.","MediaEval 2014 workshop, 16-17 Oct 2014, Barcelona, Spain.",2014,,,Conference or Workshop Item (Paper),Workshop,Yes,,,,Computer Science > Multimedia systems. Computer Science > Information retrieval. ,Research Initiatives and Centres > Centre for Next Generation Localisation (CNGL). DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,20386,22 Jan 2015 10:49 by  Gareth Jones. Last Modified 10 Oct 2018 09:22,Proceedings of MediaEval 2014..,,,,"Science Foundation Ireland, European Framework Programme 7",,,
Gareth Jones,Dublin's participation in the predicting media memorability task at MediaEval 2018.,"Smeaton, Alan F., Corrigan, Owen, Dockree, Paul, Gurrin, Cathal, Healy, Graham, Hu, Feiyan, McGuinness, Kevin, Mohedano, Eva, Ward, Tomás E.","MediaEval Benchmarking Initiative for Multimedia Evaluation, 29-31 Oct 2018, Nice, France.",2018,,,Conference or Workshop Item (Paper),Conference,No,,,,Computer Science > Image processing. Computer Science > Digital video. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. Research Initiatives and Centres > ADAPT. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,22737,18 Oct 2018 09:27 by  Owen Corrigan. Last Modified 13 Mar 2019 13:53,"Larson, Martha and Arora, Piyush and Demarty, Claire-Hélène and Riegler, Michael and Bischke, Benjamin and Dellandrea, Emmanuel and Lux, Mathias and Porter, Alastair and Jones, Gareth J.F., (eds.)Working Notes Proceedings of the MediaEval 2018 Workshop. CEUR-WS Proceedings.  CEUR-WS.",CEUR-WS,http://ceur-ws.org/Vol-2283/MediaEval_18_paper_14.pdf,© 2018 The Authors,This work was partially supported by Science Foundation Ireland under the SFI Research Centres Programme grant number SFI/12/RC/2289.,,,
