Research name,Publication Title,Author List,Conf/Journal Details,Citation count,Year,Filename,Ignore Y/N
Darragh O'Brien,Comparison of time-and frequency-domain based LF-model fitting methods for voice source parametrisation,"Haoxuan Li, Darragh O’Brien, Ronan Scaife",IET Digital Library,2,2012,,
Darragh O'Brien,Teaching operating systems concepts with SystemTap,Darragh O’Brien,Proceedings of the 2017 ACM Conference on Innovation and Technology in …,2,2017,,
Darragh O'Brien,Robust tracking of glottal LF-model parameters by multi-estimate fusion,"Haoxuan Li, Darragh O’Brien, Ronan Scaife",2012 Proceedings of the 20th European Signal Processing Conference (EUSIPCO …,0,2012,,
Darragh O'Brien,Automatic LF-model fitting to the glottal source waveform by extended kalman filtering,"Haoxuan Li, Ronan Scaife, Darragh O’Brien",2012 Proceedings of the 20th European Signal Processing Conference (EUSIPCO …,5,2012,,
Darragh O'Brien,Pathological Speech Classification Using a Convolutional Neural Network,"Nam Trinh, Darragh O’Brien",Irish Machine Vision and Image Processing Conference,2,2019,,
Darragh O'Brien,LF model based glottal source parameter estimation by extended Kalman filtering,"Haoxuan Li, Ronan Scaife, Darragh O’Brien",Proceedings of the 22nd IET Irish Signals and Systems Conference,11,2011,,
